id,name,age,birth_date,height_cm,weight_kgs,overall_rating,potential,nationality,value_euro,wage_euro,position
1330,T. Bašić,28,1996-11-25,187.96,79.8,70,79,Croatia,2700000.0,15000.0,CM
1332,Bismark,31,1993-07-12,170.18,78.0,70,72,Brazil,2200000.0,10000.0,LM
1334,William,38,1986-11-20,175.26,72.1,70,70,Brazil,1500000.0,13000.0,CM
1335,J. Garner,36,1988-04-12,152.4,73.9,70,70,England,1700000.0,30000.0,ST
1337,C. Şahin,30,1994-09-22,152.4,69.9,70,74,Turkey,2300000.0,9000.0,RM
1338,E. Özbir,35,1989-10-25,187.96,78.0,70,71,Turkey,1400000.0,7000.0,GK
1339,Javi Ros,34,1990-02-16,172.72,68.0,70,70,Spain,1800000.0,7000.0,CM
1342,S. Ujkani,36,1988-07-05,187.96,87.1,70,70,Kosovo,1200000.0,7000.0,GK
1343,Victor Fachinhas,40,1984-02-29,182.88,77.1,70,70,Brazil,725000.0,9000.0,GK
1344,Núrio,29,1995-03-24,152.4,73.0,70,75,Angola,2000000.0,7000.0,LB
1345,S. Marinos,37,1987-09-17,152.4,72.1,70,70,Greece,1300000.0,8000.0,RB
1346,G. Leadbitter,38,1986-01-07,152.4,78.9,70,70,England,1000000.0,8000.0,CDM
1347,S. Pocognoli,37,1987-08-01,182.88,81.2,70,70,Belgium,1300000.0,8000.0,LB
1348,K. Hämäläinen,38,1986-08-08,187.96,73.9,70,70,Finland,1600000.0,6000.0,LM
1349,Y. Moreno,29,1995-04-04,175.26,69.9,70,79,Colombia,2700000.0,14000.0,LM
1352,Casadesús,39,1985-02-28,154.94,78.9,70,70,Spain,1100000.0,7000.0,ST
1353,J. Archer,31,1993-04-12,190.5,79.8,70,73,Scotland,1600000.0,6000.0,GK
1355,J. Menéndez,30,1994-03-05,165.1,62.1,70,76,Argentina,2400000.0,10000.0,LM
1356,Y. Kashiwagi,37,1987-12-15,175.26,73.0,70,70,Japan,1600000.0,7000.0,CM
1358,N. Mihajlović,28,1996-01-19,172.72,71.2,70,76,Serbia,2400000.0,6000.0,LW
1363,C. Bieler,40,1984-03-01,152.4,77.1,70,70,Argentina,925000.0,8000.0,ST
1364,M. Hefele,34,1990-09-01,193.04,91.2,70,72,Germany,1700000.0,24000.0,CB
1365,D. Blum,33,1991-01-07,182.88,83.0,70,70,Germany,1900000.0,19000.0,ST
1366,U. Uçar,37,1987-04-05,154.94,69.9,70,70,Turkey,1200000.0,12000.0,RB
1367,N. Paz,32,1992-04-28,193.04,88.9,70,75,Argentina,2000000.0,15000.0,CB
1369,M. Gori,31,1993-02-04,152.4,76.2,70,71,Italy,2100000.0,9000.0,CM
1373,A. Seculin,34,1990-07-14,190.5,79.8,70,71,Italy,1400000.0,7000.0,GK
1374,Marco Sangalli,32,1992-02-07,152.4,66.2,70,70,Spain,1900000.0,6000.0,RM
1376,Kim Young Gwon,34,1990-02-27,185.42,74.8,70,71,Korea Republic,1600000.0,7000.0,CB
1377,M. Barbieri,31,1993-08-24,154.94,78.9,70,77,Argentina,2100000.0,9000.0,CB
1380,K. Barbarouses,34,1990-02-19,170.18,68.0,70,70,New Zealand,1800000.0,7000.0,ST
1381,J. Rodríguez,28,1996-06-17,170.18,60.8,70,77,Mexico,2100000.0,12000.0,CDM
1383,W. Grigg,33,1991-07-03,154.94,69.9,70,71,Northern Ireland,2100000.0,9000.0,ST
1385,R. Petretta,27,1997-03-24,175.26,69.9,70,82,Italy,2800000.0,9000.0,LB
1386,S. De Ridder,37,1987-02-25,152.4,71.2,70,70,Belgium,1600000.0,9000.0,LM
1387,Macarinho Louro,36,1988-02-29,175.26,69.9,70,70,Brazil,1700000.0,8000.0,CAM
1390,Puertas,32,1992-02-21,182.88,77.1,70,70,Spain,1900000.0,6000.0,LM
1391,A. Saldívar,34,1990-02-09,182.88,78.0,70,70,Mexico,1200000.0,9000.0,GK
1395,N. Al Shamrani,41,1983-11-23,175.26,69.9,70,70,Saudi Arabia,925000.0,22000.0,ST
1398,Diogildo Peixe,36,1988-02-29,154.94,71.2,70,70,Brazil,1700000.0,10000.0,CAM
1399,S. Griesbeck,34,1990-10-03,187.96,84.8,70,70,Germany,1500000.0,7000.0,CDM
1400,L. García,32,1992-12-31,182.88,89.8,70,75,Mexico,1700000.0,9000.0,GK
1403,T. Itō,27,1997-06-26,162.56,59.0,70,81,Japan,3100000.0,6000.0,LM
1405,Aitor García,30,1994-03-25,175.26,72.1,70,76,Spain,2500000.0,6000.0,ST
1408,S. Morsy,33,1991-09-10,172.72,74.8,70,71,Egypt,1700000.0,26000.0,CDM
1409,F. Ayité,36,1988-12-15,175.26,73.9,70,70,Togo,1700000.0,31000.0,LW
1410,F. Zuculini,34,1990-09-05,175.26,68.0,70,70,Argentina,1800000.0,8000.0,CM
1411,Bruno Moreira,37,1987-09-06,185.42,78.9,70,70,Portugal,1700000.0,6000.0,ST
1412,C. Fierro,30,1994-07-24,175.26,69.9,70,74,Mexico,2300000.0,12000.0,RM
1413,M. Morrison,36,1988-03-03,182.88,76.2,70,70,England,1300000.0,14000.0,CB
1414,P. Gallagher,40,1984-08-09,185.42,69.9,70,70,Scotland,1000000.0,9000.0,CM
1415,D. Nounkeu,38,1986-04-11,182.88,79.8,70,70,Cameroon,1000000.0,9000.0,CB
1416,T. Tawatha,32,1992-06-21,172.72,69.9,70,71,Israel,1700000.0,16000.0,LB
1417,Toribio,36,1988-10-05,175.26,71.2,70,70,Spain,1400000.0,6000.0,CDM
1420,R. Boffin,37,1987-11-05,195.58,86.2,70,70,Belgium,1100000.0,8000.0,GK
1421,U. Matić,34,1990-05-23,182.88,78.0,70,70,Serbia,1800000.0,12000.0,CM
1422,L. Giannetti,31,1993-11-13,182.88,78.9,70,77,Argentina,2100000.0,7000.0,CB
1423,D. Sorgić,35,1989-09-15,152.4,69.9,70,70,Serbia,1800000.0,10000.0,ST
1424,José Arnáiz,29,1995-04-15,175.26,69.9,70,79,Spain,2700000.0,13000.0,LM
1425,D. Kaiser,36,1988-09-16,170.18,67.1,70,70,Germany,1700000.0,16000.0,CM
1428,Y. Al Shehri,34,1990-06-26,165.1,63.0,70,70,Saudi Arabia,1800000.0,21000.0,CAM
1429,Renato Chaves,34,1990-05-04,185.42,78.0,70,70,Brazil,1400000.0,13000.0,CB
1430,A. Sissoko,34,1990-03-20,182.88,74.8,70,70,Mali,1400000.0,10000.0,CDM
1434,J. Onomah,27,1997-04-27,185.42,83.0,70,82,England,3200000.0,29000.0,CAM
1435,P. Franco,33,1991-04-23,182.88,73.0,70,72,Colombia,1700000.0,22000.0,CB
1436,J. Dudziak,29,1995-08-28,175.26,69.9,70,75,Germany,2000000.0,8000.0,RB
1438,J. Toledo,38,1986-04-20,187.96,88.9,70,70,Argentina,1400000.0,8000.0,ST
1439,C. Diandy,34,1990-11-25,185.42,83.0,70,71,Senegal,1700000.0,8000.0,CDM
1440,A. Jędrzejczyk,37,1987-11-04,187.96,78.0,70,70,Poland,1300000.0,6000.0,RB
1441,Waguininho,34,1990-01-30,152.4,68.9,70,70,Brazil,1800000.0,6000.0,ST
1443,Aderllan Santos,35,1989-04-09,193.04,83.9,70,71,Brazil,1600000.0,19000.0,CB
1446,A. Bouhaddouz,37,1987-03-30,187.96,88.0,70,70,Morocco,1600000.0,10000.0,ST
1447,N. Hauptmann,28,1996-06-27,175.26,66.2,70,80,Germany,2900000.0,10000.0,CAM
1449,D. Kinsombi,29,1995-12-12,182.88,73.9,70,76,Germany,2400000.0,7000.0,CM
1451,E. Torres,31,1993-01-19,182.88,81.2,70,73,Mexico,2300000.0,12000.0,ST
1452,F. Diabaté,29,1995-10-18,175.26,59.9,70,78,Mali,2700000.0,30000.0,ST
1453,S. Willems,34,1990-08-31,182.88,76.2,70,71,France,1700000.0,8000.0,CB
1454,S. Özcan,26,1998-01-11,154.94,73.9,70,82,Germany,3100000.0,9000.0,CM
1455,M. Caligiuri,40,1984-04-14,154.94,74.8,70,70,Germany,550000.0,6000.0,CB
1458,Puado,26,1998-05-25,152.4,68.9,70,82,Spain,3200000.0,12000.0,ST
1462,M. Hartel,28,1996-01-19,175.26,68.9,70,76,Germany,2400000.0,16000.0,LW
1467,S. Schonlau,30,1994-08-05,185.42,77.1,70,74,Germany,2000000.0,6000.0,CB
1469,Daniel Amora,37,1987-10-20,185.42,78.0,70,70,Brazil,1300000.0,11000.0,CDM
1471,T. Derijck,37,1987-05-25,185.42,81.2,70,70,Belgium,1200000.0,11000.0,CB
1472,E. López,29,1995-03-09,152.4,78.9,70,77,Colombia,2500000.0,9000.0,ST
1473,Anuar,29,1995-01-15,172.72,63.0,70,77,Morocco,2100000.0,9000.0,CDM
1474,K. Günter,30,1994-08-16,182.88,78.9,70,75,Germany,2000000.0,8000.0,CB
1476,G. Torres,36,1988-10-31,154.94,74.8,70,70,Panama,1800000.0,8000.0,ST
1477,T. Asano,30,1994-11-10,172.72,71.2,70,75,Japan,2400000.0,39000.0,LM
1481,D. Fox,38,1986-05-29,182.88,78.0,70,70,Scotland,1000000.0,26000.0,CB
1483,C. Maxwell,34,1990-07-30,185.42,73.9,70,73,Wales,1500000.0,7000.0,GK
1484,D. Stracqualursi,37,1987-10-20,190.5,86.2,70,70,Argentina,1700000.0,8000.0,ST
1485,W. Sobota,37,1987-05-19,175.26,63.0,70,70,Poland,1600000.0,11000.0,LM
1486,S. Doi,32,1992-05-21,172.72,63.0,70,71,Japan,2100000.0,8000.0,ST
1487,José Mari,37,1987-12-06,182.88,72.1,70,70,Spain,1300000.0,6000.0,CDM
1488,T. Weilandt,32,1992-04-27,185.42,73.0,70,71,Germany,2100000.0,11000.0,LM
1489,A. Wisdom,31,1993-05-09,185.42,78.0,70,75,England,2000000.0,20000.0,RB
1490,K. Smith,33,1991-01-31,175.26,69.9,70,70,England,1800000.0,23000.0,CM
1492,F. Ballo-Touré,27,1997-01-03,182.88,73.0,70,81,France,2700000.0,20000.0,LB
1494,L. Mendoza,34,1990-02-03,172.72,74.8,70,70,Mexico,1800000.0,14000.0,RM
1497,Juan Dominguez,34,1990-01-08,154.94,71.2,70,70,Spain,1800000.0,12000.0,CM
1498,M. Sylla,30,1994-03-20,175.26,74.8,70,74,Senegal,2400000.0,11000.0,ST
1499,M. Ibáñez,38,1986-12-16,190.5,88.0,70,70,Argentina,1100000.0,8000.0,GK
1500,F. Giefer,34,1990-05-17,195.58,93.0,70,71,Germany,1400000.0,10000.0,GK
1501,D. Batubinsika,28,1996-02-15,185.42,87.1,70,77,France,2100000.0,6000.0,CB
1503,Edsinho Torres,40,1984-02-29,152.4,77.1,70,70,Brazil,500000.0,9000.0,LB
1505,E. López,30,1994-09-17,167.64,66.2,70,74,Mexico,2300000.0,17000.0,RM
1508,P. Souaré,34,1990-06-06,152.4,66.2,70,70,Senegal,1400000.0,25000.0,LB
1509,G. Carey,35,1989-05-20,175.26,71.2,70,70,Republic of Ireland,1700000.0,8000.0,RM
1511,L. Lacroix,32,1992-02-27,198.12,92.1,70,72,Switzerland,1800000.0,15000.0,CB
1512,I. Bel Hassani,32,1992-09-16,175.26,72.1,70,72,Morocco,2200000.0,8000.0,CAM
1513,L. Lollo,37,1987-03-29,182.88,84.8,70,70,Argentina,1200000.0,11000.0,CB
1517,Campillo,34,1990-12-16,175.26,69.9,70,70,Spain,1900000.0,6000.0,LM
1518,F. Ondoa,29,1995-12-24,185.42,89.8,70,76,Cameroon,1800000.0,6000.0,GK
1520,K. Overmeire,39,1985-12-06,187.96,83.9,70,70,Belgium,1000000.0,8000.0,CDM
1523,Hugo Vieira,36,1988-07-25,152.4,73.0,70,70,Portugal,1800000.0,10000.0,ST
1529,Óscar,26,1998-06-28,175.26,68.0,70,83,Spain,3400000.0,44000.0,CM
1531,M. Rodák,28,1996-12-13,195.58,84.8,70,77,Slovakia,1900000.0,13000.0,GK
1532,Rodri,34,1990-06-06,175.26,73.9,70,70,Spain,1800000.0,7000.0,ST
1533,L. Mareček,34,1990-04-17,182.88,78.9,70,70,Czech Republic,1800000.0,9000.0,CM
1534,A. Nordin,26,1998-06-17,170.18,68.9,70,80,France,2900000.0,12000.0,LM
1535,J. Siebatcheu,28,1996-04-26,190.5,83.9,70,77,France,2500000.0,16000.0,ST
1536,Joel Pereira,28,1996-06-28,187.96,69.9,70,78,Portugal,2000000.0,31000.0,GK
1538,A. Tchouaméni,24,2000-01-27,185.42,79.8,70,84,France,3600000.0,10000.0,CM
1540,R. Echeverría,29,1995-04-07,154.94,73.0,70,76,Chile,2100000.0,6000.0,CB
1542,B. Schmitz,30,1994-11-17,182.88,74.8,70,73,Germany,1900000.0,9000.0,RB
1544,I. Sylla,34,1990-12-03,185.42,73.0,70,70,Guinea,1900000.0,10000.0,ST
1545,M. Dawson,41,1983-11-18,187.96,76.2,70,70,England,550000.0,24000.0,CB
1547,E. Löwen,27,1997-01-28,187.96,91.2,70,80,Germany,2500000.0,9000.0,CDM
1549,L. Tawamba,35,1989-12-20,187.96,84.8,70,70,Cameroon,1800000.0,14000.0,ST
1550,P. Galdames,28,1996-12-30,175.26,68.0,70,80,Chile,2800000.0,7000.0,CM
1551,M. Müller,31,1993-07-12,193.04,89.8,70,75,Germany,1700000.0,15000.0,GK
1552,Unai Medina,34,1990-02-16,152.4,78.0,70,70,Spain,1400000.0,6000.0,RB
1553,S. Allagui,38,1986-05-28,152.4,77.1,70,70,Tunisia,1400000.0,11000.0,ST
1555,T. Kempe,35,1989-06-27,182.88,77.1,70,70,Germany,1700000.0,12000.0,CM
1556,Z. Touré,35,1989-11-11,182.88,78.9,70,70,Senegal,1400000.0,16000.0,CB
1557,Fidel,35,1989-10-27,154.94,73.9,70,70,Spain,1800000.0,7000.0,LM
1559,J. Lawrence,32,1992-08-22,187.96,81.2,69,72,Wales,1100000.0,8000.0,CB
1560,J. Maclaren,31,1993-07-29,152.4,76.2,69,72,Australia,1400000.0,6000.0,ST
1565,M. Bunn,40,1984-11-16,182.88,77.1,69,69,England,525000.0,7000.0,GK
1567,D. Odoi,36,1988-05-27,152.4,72.1,69,69,Belgium,775000.0,22000.0,CB
1570,V. Fındıklı,34,1990-10-13,190.5,83.9,69,70,Turkey,1000000.0,8000.0,CDM
1571,Denilson,29,1995-07-18,187.96,72.1,69,77,Brazil,1500000.0,10000.0,LM
1574,B. Riveros,26,1998-02-03,152.4,68.0,69,81,Paraguay,1600000.0,8000.0,LB
1575,I. Chebake,35,1989-10-12,175.26,73.0,69,69,Morocco,825000.0,7000.0,RB
1576,F. Schultz,33,1991-07-20,172.72,72.1,69,69,Chile,900000.0,6000.0,RB
1580,R. Ghoochannejhad,37,1987-09-20,154.94,76.2,69,69,Iran,1000000.0,6000.0,ST
1582,N. Theuerkauf,37,1987-01-24,182.88,79.8,69,69,Germany,700000.0,6000.0,LB
1583,F. Fielding,36,1988-04-04,185.42,76.2,69,69,England,675000.0,14000.0,GK
1586,Luciano Cacheira,40,1984-02-29,154.94,74.8,69,69,Brazil,425000.0,8000.0,GK
1589,B. Gimber,27,1997-02-19,185.42,83.0,69,79,Germany,1500000.0,8000.0,CB
1593,N. Eliasson,29,1995-12-07,152.4,72.1,69,76,Sweden,1500000.0,17000.0,RM
1594,L. Gülen,30,1994-02-24,185.42,77.1,69,73,Switzerland,1200000.0,6000.0,CB
1596,S. Ay,33,1991-07-31,182.88,79.8,69,72,Turkey,1100000.0,8000.0,CB
1602,Roldão Riso,32,1992-02-29,152.4,78.0,69,69,Brazil,925000.0,12000.0,CDM
1604,Y. Cabral,32,1992-05-10,187.96,84.8,69,74,Argentina,1200000.0,9000.0,CB
1607,L. Gregory,36,1988-08-26,187.96,79.8,69,69,England,1100000.0,8000.0,ST
1609,N. Byrne,32,1992-06-05,172.72,69.9,69,71,England,1000000.0,22000.0,RB
1611,A. Rosati,41,1983-06-26,195.58,81.2,69,69,Italy,250000.0,9000.0,GK
1613,I. Sackey,30,1994-04-04,190.5,88.0,69,76,Ghana,1300000.0,6000.0,CDM
1614,J. Huth,30,1994-04-15,185.42,79.8,69,77,Germany,1200000.0,8000.0,GK
1620,F. Depaoli,27,1997-04-24,152.4,71.2,69,82,Italy,2000000.0,6000.0,RM
1625,E. Cobbaut,27,1997-11-21,187.96,83.0,69,77,Belgium,1300000.0,6000.0,LB
1626,C. Carter-Vickers,27,1997-12-31,182.88,92.1,69,81,United States,1700000.0,21000.0,CB
1627,N. Dalmonte,27,1997-09-13,170.18,73.0,69,82,Italy,2000000.0,7000.0,LW
1628,Fernando Karanga,33,1991-04-14,182.88,73.0,69,70,Brazil,1200000.0,8000.0,ST
1633,F. Píriz,34,1990-03-27,187.96,81.2,69,69,Uruguay,850000.0,11000.0,CDM
1636,M. Sax,32,1992-11-22,152.4,69.9,69,70,Austria,1200000.0,8000.0,RM
1637,D. Keita-Ruel,35,1989-09-21,185.42,78.9,69,69,Germany,1100000.0,6000.0,ST
1638,M. Koval,32,1992-12-09,187.96,83.9,69,72,Ukraine,925000.0,9000.0,GK
1639,A. Gholizadeh,28,1996-03-10,175.26,68.9,69,76,Iran,1500000.0,6000.0,RM
1640,D. Suzuki,34,1990-01-29,182.88,73.9,69,69,Japan,850000.0,6000.0,CB
1642,O. Darfalou,31,1993-09-29,182.88,79.8,69,74,Algeria,1400000.0,7000.0,ST
1643,E. Konsa,26,1998-04-06,182.88,77.1,69,80,England,1600000.0,13000.0,CB
1644,V. Alvarado,32,1992-08-16,154.94,77.1,69,73,United States,1100000.0,6000.0,CB
1648,T. Valls,29,1995-12-18,154.94,74.8,69,74,France,1400000.0,8000.0,CM
1649,N. Haas,28,1996-01-23,154.94,73.9,69,77,Switzerland,1500000.0,11000.0,CM
1652,J. Corona,34,1990-07-09,152.4,72.1,69,69,United States,1100000.0,10000.0,CM
1655,L. Moult,32,1992-05-14,182.88,84.8,69,72,England,1300000.0,8000.0,ST
1659,Alson Botelho,36,1988-02-29,154.94,73.0,69,69,Brazil,775000.0,14000.0,CDM
1660,Javi Muñoz,29,1995-02-28,175.26,74.8,69,76,Spain,1500000.0,9000.0,CM
1661,L. Ceballos,37,1987-01-03,165.1,67.1,69,69,Argentina,700000.0,7000.0,RB
1662,J. Hunt,34,1990-12-06,175.26,71.2,69,69,England,875000.0,18000.0,RB
1663,L. De Bock,32,1992-11-07,152.4,74.8,69,71,Belgium,1100000.0,17000.0,LB
1664,A. Aldrete,36,1988-06-14,152.4,74.8,69,69,Mexico,750000.0,11000.0,LB
1667,W. Bakhashwain,35,1989-11-12,175.26,66.2,69,69,Saudi Arabia,850000.0,11000.0,CDM
1670,D. Hernández,34,1990-12-01,175.26,64.9,69,69,Colombia,1100000.0,8000.0,RM
1672,M. Zeffane,32,1992-05-19,175.26,71.2,69,70,Algeria,1000000.0,13000.0,LB
1674,M. Odubajo,31,1993-07-28,152.4,72.1,69,73,England,1100000.0,15000.0,RWB
1675,Riqui Puig,25,1999-08-13,170.18,55.8,69,89,Spain,2100000.0,24000.0,CM
1679,M. Rojas,29,1995-11-03,185.42,78.0,69,78,Paraguay,1600000.0,6000.0,CM
1680,A. Parot,35,1989-10-15,154.94,81.2,69,69,Chile,825000.0,8000.0,LB
1681,Sandaza,40,1984-11-30,187.96,79.8,69,69,Spain,650000.0,6000.0,ST
1686,Lucas Tagliapietra,34,1990-11-05,193.04,93.9,69,71,Brazil,1000000.0,7000.0,CB
1687,K. Kodro,31,1993-08-19,187.96,77.1,69,73,Bosnia Herzegovina,1400000.0,10000.0,ST
1688,S. Gallagher,29,1995-09-15,193.04,74.8,69,77,England,1600000.0,20000.0,ST
1690,Alex López,27,1997-06-02,175.26,68.0,69,78,Spain,1600000.0,9000.0,CM
1691,O. Scarione,39,1985-07-14,152.4,71.2,69,69,Argentina,825000.0,10000.0,CAM
1695,J. Hoogma,26,1998-06-11,190.5,81.2,69,80,Netherlands,1600000.0,10000.0,CB
1696,J. Narváez,29,1995-02-12,154.94,76.2,69,74,Colombia,1400000.0,9000.0,LM
1697,E. Rescaldani,32,1992-06-11,190.5,83.0,69,72,Argentina,1300000.0,8000.0,ST
1701,Kanu,37,1987-09-23,182.88,83.9,69,69,Brazil,1000000.0,10000.0,CAM
1704,Dai Lin,37,1987-11-28,190.5,77.1,69,69,China PR,775000.0,8000.0,CB
1705,F. N'Sakala,34,1990-07-21,152.4,73.9,69,69,DR Congo,875000.0,7000.0,LB
1706,E. Pisano,37,1987-03-31,185.42,83.0,69,69,Italy,700000.0,18000.0,RB
1708,C. Leitgeb,39,1985-04-14,172.72,68.9,69,69,Austria,625000.0,16000.0,CM
1710,L. Wallace,37,1987-08-01,185.42,74.8,69,69,Scotland,750000.0,21000.0,LB
1715,S. Khelifi,30,1994-01-26,172.72,64.9,69,72,Switzerland,1300000.0,7000.0,RM
1718,K. Higashi,34,1990-07-20,152.4,72.1,69,69,Japan,1100000.0,6000.0,RM
1719,Rômulão Selva,32,1992-02-29,152.4,72.1,69,69,Brazil,1200000.0,11000.0,ST
1721,F. Ojo,33,1991-08-28,152.4,71.2,69,69,Belgium,1100000.0,6000.0,CM
1722,K. Misao,28,1996-04-16,154.94,73.0,69,78,Japan,1600000.0,6000.0,CM
1725,Aguilera,39,1985-09-13,185.42,77.1,69,69,Spain,600000.0,10000.0,CDM
1727,A. Avlonitis,34,1990-01-01,190.5,81.2,69,69,Greece,850000.0,10000.0,CB
1729,D. Oberlin,27,1997-09-27,182.88,73.9,69,81,Switzerland,1900000.0,10000.0,ST
1731,B. Bjarnason,36,1988-05-27,182.88,77.1,69,69,Iceland,975000.0,10000.0,CM
1734,J. Carrascal,26,1998-05-25,167.64,54.0,69,82,Colombia,2000000.0,8000.0,CAM
1735,Ailton Cardenhas,36,1988-02-29,193.04,83.9,69,69,Brazil,675000.0,7000.0,GK
1736,S. Thesker,33,1991-04-11,190.5,83.9,69,69,Germany,875000.0,6000.0,CB
1743,J. van den Bergh,38,1986-11-21,182.88,74.8,69,69,Germany,700000.0,6000.0,LB
1744,C. Kipré,28,1996-12-09,193.04,96.2,69,78,France,1400000.0,15000.0,CB
1745,J. Horn,27,1997-02-06,185.42,77.1,69,77,Germany,1300000.0,6000.0,LB
1747,A. Mitryushkin,28,1996-02-08,187.96,82.1,69,78,Russia,1200000.0,9000.0,GK
1753,M. Koné,33,1991-12-25,175.26,68.9,69,70,Ivory Coast,1300000.0,14000.0,ST
1755,R. Krauße,30,1994-04-02,152.4,74.8,69,73,Germany,1200000.0,10000.0,CDM
1756,M. Bogado,39,1985-05-31,170.18,68.0,69,69,Argentina,425000.0,7000.0,CDM
1757,P. Mlapa,33,1991-02-20,193.04,93.0,69,69,Togo,1100000.0,11000.0,ST
1760,Huang Bowen,37,1987-07-13,152.4,64.9,69,69,China PR,775000.0,8000.0,CDM
1765,P. Türpitz,33,1991-08-23,152.4,73.9,69,69,Germany,1100000.0,8000.0,RW
1766,M. Araujo,30,1994-10-24,152.4,71.2,69,74,Peru,1200000.0,6000.0,CB
1767,T. Serbest,30,1994-05-02,182.88,78.0,69,74,Turkey,1200000.0,7000.0,CDM
1768,J. Ramis,35,1989-11-06,152.4,77.1,69,69,Uruguay,1100000.0,8000.0,ST
1769,F. Öztürk,38,1986-12-22,190.5,86.2,69,69,Turkey,650000.0,6000.0,GK
1771,J. Walker,31,1993-06-25,175.26,69.9,69,73,Scotland,1400000.0,23000.0,CAM
1772,L. Damour,33,1991-01-08,154.94,74.8,69,70,France,1000000.0,19000.0,CDM
1773,I. Jebali,33,1991-12-25,185.42,83.9,69,70,Tunisia,1300000.0,13000.0,ST
1774,A. Robinson,27,1997-08-08,182.88,64.0,69,81,United States,1600000.0,15000.0,LB
1776,J. Holt,31,1993-02-19,165.1,69.9,69,72,Scotland,1300000.0,22000.0,CM
1777,A. O'Brien,31,1993-10-04,182.88,72.1,69,72,Republic of Ireland,1300000.0,6000.0,LM
1783,E. Brítez,32,1992-03-26,154.94,78.0,69,72,Argentina,1100000.0,7000.0,CB
1784,Jon Toral,29,1995-02-05,182.88,77.1,69,74,Spain,1400000.0,12000.0,CAM
1787,M. Richter,27,1997-11-24,175.26,73.9,69,78,Germany,1600000.0,8000.0,RM
1788,A. Le Fondre,38,1986-12-02,175.26,73.0,69,69,England,950000.0,6000.0,ST
1791,Ricardo Machado,36,1988-09-13,190.5,79.8,69,69,Portugal,825000.0,10000.0,CB
1792,J. Taravel,37,1987-04-17,190.5,84.8,69,69,France,700000.0,7000.0,CB
1795,L. Grimi,39,1985-02-09,182.88,73.9,69,69,Argentina,400000.0,9000.0,LB
1798,Brahim,25,1999-08-03,170.18,68.0,69,86,Spain,2200000.0,29000.0,LW
1799,Césario Figueirido,40,1984-02-29,190.5,87.1,69,69,Brazil,325000.0,7000.0,CB
1800,T. van Weert,34,1990-06-07,154.94,73.0,69,69,Netherlands,1100000.0,8000.0,ST
1802,G. Flores,38,1986-02-05,175.26,74.8,68,68,Mexico,500000.0,9000.0,RB
1807,M. Jahfali,34,1990-10-24,185.42,69.9,68,68,Saudi Arabia,750000.0,13000.0,CB
1809,M. Tchokounté,36,1988-09-11,190.5,89.8,68,68,France,900000.0,10000.0,ST
1813,Vágner Norteiro,40,1984-02-29,165.1,62.1,68,68,Brazil,250000.0,6000.0,RB
1817,S. Kingsley,30,1994-07-23,152.4,77.1,68,74,Scotland,1000000.0,9000.0,LB
1821,G. Piovi,30,1994-09-08,154.94,69.9,68,74,Argentina,1000000.0,6000.0,CB
1823,H. Olvera,34,1990-05-13,175.26,68.9,68,68,Mexico,700000.0,8000.0,LB
1825,S. Nsoki,25,1999-04-09,185.42,78.0,68,84,France,1700000.0,10000.0,LB
1827,M. Gaus,35,1989-08-02,182.88,79.8,68,68,Germany,700000.0,10000.0,LB
1831,M. Al Sahlawi,37,1987-01-10,152.4,73.9,68,68,Saudi Arabia,800000.0,16000.0,ST
1832,I. Höhn,33,1991-12-23,182.88,72.1,68,69,Germany,875000.0,8000.0,CB
1837,J. Pelupessy,31,1993-05-15,172.72,63.0,68,72,Netherlands,975000.0,10000.0,CDM
1838,B. Watson,39,1985-07-09,154.94,79.8,68,68,England,525000.0,17000.0,CDM
1841,S. Baldock,35,1989-03-15,170.18,67.1,68,68,England,900000.0,15000.0,ST
1846,L. Ibáñez,36,1988-07-15,170.18,73.0,68,68,Argentina,675000.0,11000.0,LB
1850,Lluis López,27,1997-03-05,182.88,78.9,68,78,Spain,1300000.0,7000.0,CB
1851,R. Wood,39,1985-07-05,190.5,82.1,68,68,England,525000.0,12000.0,CB
1861,T. Kane,31,1993-09-17,154.94,69.9,68,73,England,1000000.0,9000.0,RB
1873,Nosberto Vila,40,1984-02-29,175.26,74.8,68,68,Brazil,250000.0,6000.0,RB
1875,R. Tunnicliffe,32,1992-12-30,182.88,79.8,68,71,England,1100000.0,6000.0,CM
1876,C. Quaner,33,1991-06-18,190.5,78.9,68,68,Germany,950000.0,17000.0,RM
1880,M. Taylor,34,1990-03-30,175.26,72.1,68,68,England,925000.0,19000.0,ST
1885,Nando,30,1994-06-13,152.4,68.0,68,74,Spain,1200000.0,8000.0,RM
1887,H. Bahebri,32,1992-07-16,170.18,67.1,68,69,Saudi Arabia,1100000.0,14000.0,LM
1890,Kauã Zanson,40,1984-02-29,152.4,72.1,68,68,Brazil,270000.0,10000.0,CB
1892,Y. Herrera,26,1998-01-07,182.88,77.1,68,78,Venezuela,1300000.0,24000.0,CDM
1893,Lucas Medeirão,40,1984-02-29,152.4,73.9,68,68,Brazil,450000.0,9000.0,CAM
1895,J. Rasmussen,27,1997-05-28,190.5,81.2,68,79,Denmark,1400000.0,13000.0,CB
1900,Chuli,33,1991-01-25,170.18,59.0,68,68,Spain,950000.0,10000.0,ST
1901,V. Viola,33,1991-08-28,182.88,76.2,68,69,Argentina,1100000.0,6000.0,ST
